destination_id,destination_name,asi_monuments_clean_match,bharatverse_monuments_match,cpm_pdf_match,cpm_pdf_page,fuzzy_matching_used,integration_decision,manual_review_reason
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0036,"Champaner Monuments, Pavagadh",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0037,Chandragiri Monument,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0038,Charminar,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,92,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0039,Chittaurgarh Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0040,Cooch Bihar Palace,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0041,Dariya Daulath Bagh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0042,Daulatabad Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,58,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0043,Deeg Bhawan,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,86,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0044,Durga temple complex Aihole,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0045,Elephanta Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,62,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0046,Ellora Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,59,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0047,Excavated Remains at Nalanda,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0048,Excavated Remains at sarnath,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0049,Fatehpur Sikri,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,110,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0050,"Fort Museum, Thirumayam",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0051,"Fort on Rock, Dindigual",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0052,"Fort, Palakkad, Palakkad",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0053,Fortress and Temple Chitrudurga Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0054,"Fort St. Angelo, Kannur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,47,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0055,Fort Vattakottai,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0056,Gawilgarh Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,64,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0057,"Gingee Fort , Gingee",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0058,Golconda,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0059,"Gol Gumbaz, Vijayapura",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,43,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0060,"Group of four MaidansCharaideo, Sibasagar",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0061,"Group of monument, Royal Palace Mandu",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0062,"Group of Monuments, Hampi",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0063,Group of Monuments Mamallapuram,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0064,Group of Monuments (WH) Pattadakal,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0065,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0066,"Group of Temples at kiramchi, District Udhampur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0067,"Gupta Temple & Varah Temple, Deogarh",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0068,Gwalior Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,52,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0069,Hauzkhas,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,74,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0070,Hazarduari Palace,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,141,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0071,Hoshang Shah's Tomb,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0072,Humayun Tomb,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0073,"Ibrahim Rauza, Bijapur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0074,Itimad-ud-Daulah-Tomb,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0075,"Jaina & Vaishnava Cave, Badami",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0076,"Janjira Fort, Murd",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0077,Jantar Mantar,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,72,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0078,Kalinjar Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,116,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0079,"Kareghar of Ahom Kings, Sibasagar",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0080,Keshava Temple,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0081,Khan-I-Khana,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,77,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0082,"Kolaba Fort, Alibag",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0083,Kondiote Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0084,Kotla Feroz Shah,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0085,Kumbhalgarh Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0086,Lohgad Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0087,Lord Cornwallis Tomb,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,131,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0088,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0089,Mariam tomb Sikandra,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0090,mattancherry Palace Museum Kochi,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0091,Mausoleum,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,7,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0092,Mehtab Bagh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,109,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0093,Metcelf-Hall,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0094,"Moovarkoil, Kodumbalur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0095,Nagarjuna Kunda,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0096,"Natural Caven with inscription eladipattam, Sittannavasal",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0097,Observatory of Man Singh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,134,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0098,"Old Fort (Shahi Fort), Jaunpur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0099,"Old Fort, Sholapur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,63,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0100,"Palace Complex at Ramnagar, Distt. Udhampur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0101,Palace of Tipu Sultan,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0102,Pandulena Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0103,Piprahwa & Ganwaria,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0104,Purana Qila,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,72,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0105,Qutub Minar,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0106,Raigad Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,62,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0107,Rajarani Temple,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,80,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0108,Ram Bagh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,84,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0109,"Ranghar Pavillion, Jaisagar",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0110,Rani Jhansi Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0111,"Rani Ki-Vav, Patan",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0112,Rani Lakshmi Bai Mahal,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,118,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0113,Red Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,72,No,MERGED: exact normalized match between the two processed monument CSVs.,None
