destination_id,destination_name,severity,issue_category,recommended_action,status
BV-ASI-0006,Amaravati mahastupa,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0006,Amaravati mahastupa,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0009,Ancient Palace Leh,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0009,Ancient Palace Leh,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0009,Ancient Palace Leh,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0009,Ancient Palace Leh,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0009,Ancient Palace Leh,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0009,Ancient Palace Leh,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0012,Ancient Site Bhangarh,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0012,Ancient Site Bhangarh,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0012,Ancient Site Bhangarh,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0012,Ancient Site Bhangarh,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0012,Ancient Site Bhangarh,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0014,Ancient Site of Vikramshila Antichak,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0015,"Asokan Rock Edict, Jungadh",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0016,Aurangabad Caves,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0016,Aurangabad Caves,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0016,Aurangabad Caves,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0016,Aurangabad Caves,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0016,Aurangabad Caves,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0020,Baori at Abhaneri,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0020,Baori at Abhaneri,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0020,Baori at Abhaneri,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0020,Baori at Abhaneri,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0020,Baori at Abhaneri,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0020,Baori at Abhaneri,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0022,Bellary Fort,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0022,Bellary Fort,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0022,Bellary Fort,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0022,Bellary Fort,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0022,Bellary Fort,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0022,Bellary Fort,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0023,Bir Singh Palace Datia,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0023,Bir Singh Palace Datia,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0023,Bir Singh Palace Datia,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0023,Bir Singh Palace Datia,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0023,Bir Singh Palace Datia,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0024,Bishnudol,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0024,Bishnudol,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0024,Bishnudol,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0024,Bishnudol,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0024,Bishnudol,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0025,Bishnupur Temples,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0025,Bishnupur Temples,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0025,Bishnupur Temples,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0025,Bishnupur Temples,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0025,Bishnupur Temples,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0025,Bishnupur Temples,MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0026,"Buddhish Caves, Junagadh",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",MEDIUM,No exact normalized match in supplied CPM PDF extraction,"Manually inspect name variant, locality and district before marking CPM-list membership.",OPEN
BV-ASI-0028,Buddhist Caves,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0028,Buddhist Caves,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0028,Buddhist Caves,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0028,Buddhist Caves,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0028,Buddhist Caves,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
BV-ASI-0029,Buddhist Caves Kanheri,HIGH,Missing field-level provenance for city/state/coordinates/category,Retain as UNVERIFIED; add primary or official source per field before public factual claims.,OPEN
BV-ASI-0029,Buddhist Caves Kanheri,HIGH,No destination-level women-safety evidence,"Keep all safety fields NULL/Not Available; add only verified, dated sources.",OPEN
BV-ASI-0029,Buddhist Caves Kanheri,HIGH,No destination-level accessibility evidence,Keep all accessibility fields NULL/Not Available; add site/operator evidence.,OPEN
BV-ASI-0029,Buddhist Caves Kanheri,MEDIUM,Visitor figures are 2019-20 and processed-source provenance is incomplete,Label the period in UI/API and obtain original ASI/MoT citation.,OPEN
BV-ASI-0029,Buddhist Caves Kanheri,MEDIUM,No defensible hidden-gem methodology,Keep hidden_gem_score NULL until documented source-backed indicators exist.,OPEN
