name,short_description,description,category,criteria,inscribed_year,country,image,coordinates,components,component_count,heritage_source
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar","The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes stupas, shrines, viharas (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions.","The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes stupas, shrines, viharas (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions.",Cultural,(iv),2016,India,https://whc.unesco.org/document/141224,"25.1366666667, 85.4438888889","{name: Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar, ref: 1502, latitude: 25.1366666667, longitude: 85.4438888889}",1,UNESCO World Heritage
Khangchendzonga National Park,"Located at the heart of the Himalayan range in northern India (State of Sikkim), the Khangchendzonga National Park includes a unique diversity of plains, valleys, lakes, glaciers and spectacular, snow-capped mountains covered with ancient forests, including the world’s third highest peak, Mount Khangchendzonga. Mythological stories are associated with this mountain and with a great number of natural elements (caves, rivers, lakes, etc.) that are the object of worship by the indigenous people of Sikkim. The sacred meanings of these stories and practices have been integrated with Buddhist beliefs and constitute the basis for Sikkimese identity.","Located at the heart of the Himalayan range in northern India (State of Sikkim), the Khangchendzonga National Park includes a unique diversity of plains, valleys, lakes, glaciers and spectacular, snow-capped mountains covered with ancient forests, including the world’s third highest peak, Mount Khangchendzonga. Mythological stories are associated with this mountain and with a great number of natural elements (caves, rivers, lakes, etc.) that are the object of worship by the indigenous people of Sikkim. The sacred meanings of these stories and practices have been integrated with Buddhist beliefs and constitute the basis for Sikkimese identity.",Mixed,(iii)(vii)(x),2016,India,https://whc.unesco.org/document/141188,"27.7647222222, 88.3772222222","{name: Khangchendzonga National Park, ref: 1513, latitude: 27.7647222222, longitude: 88.3772222222}",1,UNESCO World Heritage
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement","Chosen from the work of Le Corbusier, the 17 sites comprising this transnational serial property are spread over seven countries and are a testimonial to the invention of a new architectural language that made a break with the past. They were built over a period of a half-century, in the course of what Le Corbusier described as “patient research”. The Complexe du Capitole in Chandigarh (India), the National Museum of Western Art, Tokyo (Japan), the House of Dr Curutchet in La Plata (Argentina) and the Unité d’habitation in Marseille (France) reflect the solutions that the Modern Movement sought to apply during the 20th century to the challenges of inventing new architectural techniques to respond to the needs of society. These masterpieces of creative genius also attest to the internationalization of architectural practice across the planet.","Chosen from the work of Le Corbusier, the 17 sites comprising this transnational serial property are spread over seven countries and are a testimonial to the invention of a new architectural language that made a break with the past. They were built over a period of a half-century, in the course of what Le Corbusier described as “patient research”. The Complexe du Capitole in Chandigarh (India), the National Museum of Western Art, Tokyo (Japan), the House of Dr Curutchet in La Plata (Argentina) and the Unité d’habitation in Marseille (France) reflect the solutions that the Modern Movement sought to apply during the 20th century to the challenges of inventing new architectural techniques to respond to the needs of society. These masterpieces of creative genius also attest to the internationalization of architectural practice across the planet.",Cultural,(i)(ii),2016,"India,Japan,France,Belgium,Switzerland,Argentina,Germany",https://whc.unesco.org/document/140720,"46.4684138889, 6.8293361111","{name: Cité Frugès, ref: 1321rev-003, latitude: 44.7995834551, longitude: -0.6477638952}, {name: Maison Guiete, ref: 1321rev-004, latitude: 51.183667, longitude: 4.39325}, {name: Immeuble Clarté, ref: 1321rev-007, latitude: 46.20016, longitude: 6.156409}, {name: Complexe du Capitole, ref: 1321rev-014, latitude: 30.7575, longitude: 76.8055555556}, {name: Cabanon de Le Corbusier, ref: 1321rev-013, latitude: 43.75972, longitude: 7.4634}, {name: Maison du docteur Curutchet, ref: 1321rev-011, latitude: -34.9113416667, longitude: -57.941825}, {name: La Manufacture à Saint- Dié, ref: 1321rev-010, latitude: 48.29082, longitude: 6.95025}, {name: Maisons La Roche et Jeanneret, ref: 1321rev-001, latitude: 48.85186, longitude: 2.26535}, {name: Unité d’habitation Marseille, ref: 1321rev-009, latitude: 43.26137, longitude: 5.39618}, {name: Maison de la Culture de Firminy, ref: 1321rev-017, latitude: 45.38319, longitude: 4.289067}, {name: Villa Savoye et loge du jardiner, ref: 1321rev-006, latitude: 48.924423, longitude: 2.028344}, {name: Maisons de la Weissenhof-Siedlung, ref: 1321rev-005, latitude: 48.799845, longitude: 9.177665}, {name: Petite villa au bord du lac Léman, ref: 1321rev-002, latitude: 46.468414, longitude: 6.829336}, {name: Couvent Sainte-Marie-de-la-Tourette, ref: 1321rev-015, latitude: 45.819396, longitude: 4.6225}, {name: Immeuble locatif à la Porte Molitor, ref: 1321rev-008, latitude: 48.84339, longitude: 2.25129}, {name: Chapelle Notre-Dame-du-Haut de Ronchamp, ref: 1321rev-012, latitude: 47.70449, longitude: 6.62078}, {name: Musée National des Beaux-Arts de l’Occident, ref: 1321rev-016, latitude: 35.7152777778, longitude: 139.775833333}",17,UNESCO World Heritage
Great Himalayan National Park Conservation Area,"This National Park in the western part of the Himalayan Mountains in the northern Indian state of Himachal Pradesh is characterized by high alpine peaks, alpine meadows and riverine forests. The 90,540 ha property includes the upper mountain glacial and snow meltwater sources of several rivers, and the catchments of water supplies that are vital to millions of downstream users. The GHNPCA protects the monsoon-affected forests and alpine meadows of the Himalayan front ranges. It is part of the Himalaya biodiversity hotspot and includes twenty-five forest types along with a rich assemblage of fauna species, several of which are threatened. This gives the site outstanding significance for biodiversity conservation.","This National Park in the western part of the Himalayan Mountains in the northern Indian state of Himachal Pradesh is characterized by high alpine peaks, alpine meadows and riverine forests. The 90,540 ha property includes the upper mountain glacial and snow meltwater sources of several rivers, and the catchments of water supplies that are vital to millions of downstream users. The GHNPCA protects the monsoon-affected forests and alpine meadows of the Himalayan front ranges. It is part of the Himalaya biodiversity hotspot and includes twenty-five forest types along with a rich assemblage of fauna species, several of which are threatened. This gives the site outstanding significance for biodiversity conservation.",Natural,(x),2014,India,https://whc.unesco.org/document/203849,"31.8333333333, 77.5833333333","{name: Great Himalayan National Park Conservation Area, ref: 1406rev, latitude: 31.8333333333, longitude: 77.5833333333}",1,UNESCO World Heritage
"Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat","Rani-ki-Vav, on the banks of the Saraswati River, was initially built as a memorial to a king in the 11th century AD. Stepwells are a distinctive form of subterranean water resource and storage systems on the Indian subcontinent, and have been constructed since the 3rd millennium BC. They evolved over time from what was basically a pit in sandy soil towards elaborate multi-storey works of art and architecture. Rani-ki-Vav was built at the height of craftsmens’ ability in stepwell construction and the Maru-Gurjara architectural style, reflecting mastery of this complex technique and great beauty of detail and proportions. Designed as an inverted temple highlighting the sanctity of water, it is divided into seven levels of stairs with sculptural panels of high artistic quality; more than 500 principle sculptures and over a thousand minor ones combine religious, mythological and secular imagery, often referencing literary works. The fourth level is the deepest and leads into a rectangular tank 9.5 m by 9.4 m, at a depth of 23 m. The well is located at the westernmost end of the property and consists of a shaft 10 m in diameter and 30 m deep.","Rani-ki-Vav, on the banks of the Saraswati River, was initially built as a memorial to a king in the 11th century AD. Stepwells are a distinctive form of subterranean water resource and storage systems on the Indian subcontinent, and have been constructed since the 3rd millennium BC. They evolved over time from what was basically a pit in sandy soil towards elaborate multi-storey works of art and architecture. Rani-ki-Vav was built at the height of craftsmens’ ability in stepwell construction and the Maru-Gurjara architectural style, reflecting mastery of this complex technique and great beauty of detail and proportions. Designed as an inverted temple highlighting the sanctity of water, it is divided into seven levels of stairs with sculptural panels of high artistic quality; more than 500 principle sculptures and over a thousand minor ones combine religious, mythological and secular imagery, often referencing literary works. The fourth level is the deepest and leads into a rectangular tank 9.5 m by 9.4 m, at a depth of 23 m. The well is located at the westernmost end of the property and consists of a shaft 10 m in diameter and 30 m deep.",Cultural,(i)(iv),2014,India,https://whc.unesco.org/document/129660,"23.8588888889, 72.1016666667","{name: Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat, ref: 922, latitude: 23.8588888889, longitude: 72.1016666667}",1,UNESCO World Heritage
Hill Forts of Rajasthan,"The serial site, situated in the state of Rajastahan, includes six majestic forts in Chittorgarh; Kumbhalgarh; Sawai Madhopur; Jhalawar; Jaipur, and Jaisalmer. The ecclectic architecture of the forts, some up to 20 kilometres in circumference, bears testimony to the power of the Rajput princely states that flourished in the region from the 8th to the 18th centuries. Enclosed within defensive walls are major urban centres, palaces, trading centres and other buildings including temples that often predate the fortifications within which developed an elaborate courtly culture that supported learning, music and the arts. Some of the urban centres enclosed in the fortifications have survived, as have many of the site's temples and other sacred buildings. The forts use the natural defenses offered by the landscape: hills, deserts, rivers, and dense forests. They also feature extensive water harvesting structures, largely still in use today.","The serial site, situated in the state of Rajastahan, includes six majestic forts in Chittorgarh; Kumbhalgarh; Sawai Madhopur; Jhalawar; Jaipur, and Jaisalmer. The ecclectic architecture of the forts, some up to 20 kilometres in circumference, bears testimony to the power of the Rajput princely states that flourished in the region from the 8th to the 18th centuries. Enclosed within defensive walls are major urban centres, palaces, trading centres and other buildings including temples that often predate the fortifications within which developed an elaborate courtly culture that supported learning, music and the arts. Some of the urban centres enclosed in the fortifications have survived, as have many of the site's temples and other sacred buildings. The forts use the natural defenses offered by the landscape: hills, deserts, rivers, and dense forests. They also feature extensive water harvesting structures, largely still in use today.",Cultural,(ii)(iii),2013,India,https://whc.unesco.org/document/123515,"24.8833333333, 74.6461111111","{name: Amber Fort, ref: 247rev-005, latitude: 26.9847222222, longitude: 75.8519444444}, {name: Gagron Fort, ref: 247rev-004, latitude: 24.6263888889, longitude: 76.1872222222}, {name: Jaisalmer Fort, ref: 247rev-006, latitude: 26.9125, longitude: 70.9125}, {name: Chittorgarh Fort, ref: 247rev-001, latitude: 24.8833333333, longitude: 74.6461111111}, {name: Kumbhalgarh Fort, ref: 247rev-002, latitude: 25.1488888889, longitude: 73.5802777778}, {name: Ranthambore Fort, ref: 247rev-003, latitude: 26.0202777778, longitude: 76.455}",6,UNESCO World Heritage
Western Ghats,"Older than the Himalaya mountains, the mountain chain of the Western Ghats represents geomorphic features of immense importance with unique biophysical and ecological processes. The site’s high montane forest ecosystems influence the Indian monsoon weather pattern. Moderating the tropical climate of the region, the site presents one of the best examples of the monsoon system on the planet. It also has an exceptionally high level of biological diversity and endemism and is recognized as one of the world’s eight ‘hottest hotspots’ of biological diversity. The forests of the site include some of the best representatives of non-equatorial tropical evergreen forests anywhere and are home to at least 325 globally threatened flora, fauna, bird, amphibian, reptile and fish species.","Older than the Himalaya mountains, the mountain chain of the Western Ghats represents geomorphic features of immense importance with unique biophysical and ecological processes. The site’s high montane forest ecosystems influence the Indian monsoon weather pattern. Moderating the tropical climate of the region, the site presents one of the best examples of the monsoon system on the planet. It also has an exceptionally high level of biological diversity and endemism and is recognized as one of the world’s eight ‘hottest hotspots’ of biological diversity. The forests of the site include some of the best representatives of non-equatorial tropical evergreen forests anywhere and are home to at least 325 globally threatened flora, fauna, bird, amphibian, reptile and fish species.",Natural,(ix)(x),2012,India,https://whc.unesco.org/document/117263,"8.5297222222, 77.2497222222","{name: Kas Plateau, ref: 1342rev-036, latitude: 17.1716666667, longitude: 73.7272222222}, {name: Palode Range, ref: 1342rev-006, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Mankulam Range, ref: 1342rev-017, latitude: 10.3844444444, longitude: 77.18}, {name: Mannavan Shola, ref: 1342rev-019, latitude: 10.3844444444, longitude: 77.18}, {name: Kalikavu Range, ref: 1342rev-023, latitude: 11.3305555556, longitude: 76.3094444444}, {name: Kulathupuzha Range, ref: 1342rev-005, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Periyar Tiger Reserve, ref: 1342rev-007, latitude: 9.4855555556, longitude: 77.21}, {name: Ranni Forest Division, ref: 1342rev-008, latitude: 9.4855555556, longitude: 77.21}, {name: Konni Forest Division, ref: 1342rev-009, latitude: 9.4855555556, longitude: 77.21}, {name: Mukurti National Park, ref: 1342rev-022, latitude: 11.3305555556, longitude: 76.3094444444}, {name: Kerti Reserved Forest, ref: 1342rev-029, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Agumbe Reserved Forest, ref: 1342rev-034, latitude: 13.4997222222, longitude: 75.1005555556}, {name: Chandoli National Park, ref: 1342rev-038, latitude: 17.1716666667, longitude: 73.7272222222}, {name: Kudremukh National Park, ref: 1342rev-031, latitude: 13.4997222222, longitude: 75.1005555556}, {name: Attapadi Reserved Forest, ref: 1342rev-024, latitude: 11.3305555556, longitude: 76.3094444444}, {name: Koyna Wildlife Sanctuary, ref: 1342rev-037, latitude: 17.1716666667, longitude: 73.7272222222}, {name: Neyyar Wildlife Sanctuary, ref: 1342rev-003, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Grass Hills National Park, ref: 1342rev-014, latitude: 10.3844444444, longitude: 77.18}, {name: Aralam Wildlife Sanctuary, ref: 1342rev-030, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Balahalli Reserved Forest, ref: 1342rev-035, latitude: 13.4997222222, longitude: 75.1005555556}, {name: Peppara Wildlife Sanctuary, ref: 1342rev-004, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Achankovil Forest Division, ref: 1342rev-010, latitude: 9.4855555556, longitude: 77.21}, {name: Karian Shola National Park, ref: 1342rev-015, latitude: 10.3844444444, longitude: 77.18}, {name: Chinnar Wildlife Sanctuary, ref: 1342rev-018, latitude: 10.3844444444, longitude: 77.18}, {name: Someshwara Reserved Forest, ref: 1342rev-033, latitude: 13.4997222222, longitude: 75.1005555556}, {name: Silent Valley National Park, ref: 1342rev-020, latitude: 11.3305555556, longitude: 76.3094444444}, {name: Padinalknad Reserved Forest, ref: 1342rev-028, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Shendurney Wildlife Sanctuary, ref: 1342rev-002, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Pushpagiri Wildlife Sanctuary, ref: 1342rev-025, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Brahmagiri Wildlife Sanctuary, ref: 1342rev-026, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Someshwara Wildlife Sanctuary, ref: 1342rev-032, latitude: 13.4997222222, longitude: 75.1005555556}, {name: Talacauvery Wildlife Sanctuary, ref: 1342rev-027, latitude: 12.5463888889, longitude: 75.7077777778}, {name: Radhanagari Wildlife Sanctuary, ref: 1342rev-039, latitude: 17.1716666667, longitude: 73.7272222222}, {name: New Amarambalam Reserved Forest, ref: 1342rev-021, latitude: 11.3305555556, longitude: 76.3094444444}, {name: Srivilliputtur Wildlife Sanctuary, ref: 1342rev-011, latitude: 9.4855555556, longitude: 77.21}, {name: Kalakad-Mundanthurai Tiger Reserve, ref: 1342rev-001, latitude: 8.5297222222, longitude: 77.2497222222}, {name: Tirunelveli (North) Forest Division (part), ref: 1342rev-012, latitude: 9.4855555556, longitude: 77.21}, {name: Eravikulam National Park (and proposed extension), ref: 1342rev-013, latitude: 10.2177777778, longitude: 77.18}, {name: Karian Shola (part of Parambikulam Wildlife Sanctuary), ref: 1342rev-016, latitude: 10.3844444444, longitude: 77.18}",39,UNESCO World Heritage
"The Jantar Mantar, Jaipur","The Jantar Mantar, in Jaipur, is an astronomical observation site built in the early 18th century. It includes a set of some 20 main fixed instruments. They are monumental examples in masonry of known instruments but which in many cases have specific characteristics of their own. Designed for the observation of astronomical positions with the naked eye, they embody several architectural and instrumental innovations. This is the most significant, most comprehensive, and the best preserved of India's historic observatories. It is an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period.","The Jantar Mantar, in Jaipur, is an astronomical observation site built in the early 18th century. It includes a set of some 20 main fixed instruments. They are monumental examples in masonry of known instruments but which in many cases have specific characteristics of their own. Designed for the observation of astronomical positions with the naked eye, they embody several architectural and instrumental innovations. This is the most significant, most comprehensive, and the best preserved of India's historic observatories. It is an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period.",Cultural,(iii)(iv),2010,India,https://whc.unesco.org/document/115001,"26.9247222222, 75.825","{name: The Jantar Mantar, Jaipur, ref: 1338, latitude: 26.9247222222, longitude: 75.825}",1,UNESCO World Heritage
Red Fort Complex,"The Red Fort Complex was built as the palace fort of Shahjahanabad – the new capital of the fifth Mughal Emperor of India, Shah Jahan. Named for its massive enclosing walls of red sandstone, it is adjacent to an older fort, the Salimgarh, built by Islam Shah Suri in 1546, with which it forms the Red Fort Complex. The private apartments consist of a row of pavilions connected by a continuous water channel, known as the Nahr-i-Behisht (Stream of Paradise). The Red Fort is considered to represent the zenith of Mughal creativity which, under the Shah Jahan, was brought to a new level of refinement. The planning of the palace is based on Islamic prototypes, but each pavilion reveals architectural elements typical of Mughal building, reflecting a fusion of Persian, Timurid and Hindu traditions The Red Fort’s innovative planning and architectural style, including the garden design, strongly influenced later buildings and gardens in Rajasthan, Delhi, Agra and further afield.","The Red Fort Complex was built as the palace fort of Shahjahanabad – the new capital of the fifth Mughal Emperor of India, Shah Jahan. Named for its massive enclosing walls of red sandstone, it is adjacent to an older fort, the Salimgarh, built by Islam Shah Suri in 1546, with which it forms the Red Fort Complex. The private apartments consist of a row of pavilions connected by a continuous water channel, known as the Nahr-i-Behisht (Stream of Paradise). The Red Fort is considered to represent the zenith of Mughal creativity which, under the Shah Jahan, was brought to a new level of refinement. The planning of the palace is based on Islamic prototypes, but each pavilion reveals architectural elements typical of Mughal building, reflecting a fusion of Persian, Timurid and Hindu traditions The Red Fort’s innovative planning and architectural style, including the garden design, strongly influenced later buildings and gardens in Rajasthan, Delhi, Agra and further afield.",Cultural,(ii)(iii),2007,India,https://whc.unesco.org/document/109222,"28.6555555556, 77.2408333333","{name: Red Fort Complex, ref: 231rev, latitude: 28.6555555556, longitude: 77.2408333333}",1,UNESCO World Heritage
Champaner-Pavagadh Archaeological Park,"A concentration of largely unexcavated archaeological, historic and living cultural heritage properties cradled in an impressive landscape which includes prehistoric (chalcolithic) sites, a hill fortress of an early Hindu capital, and remains of the 16th-century capital of the state of Gujarat. The site also includes, among other vestiges, fortifications, palaces, religious buildings, residential precincts, agricultural structures and water installations, from the 8th to 14th centuries. The Kalikamata Temple on top of Pavagadh Hill is considered to be an important shrine, attracting large numbers of pilgrims throughout the year. The site is the only complete and unchanged Islamic pre-Mughal city.","A concentration of largely unexcavated archaeological, historic and living cultural heritage properties cradled in an impressive landscape which includes prehistoric (chalcolithic) sites, a hill fortress of an early Hindu capital, and remains of the 16th-century capital of the state of Gujarat. The site also includes, among other vestiges, fortifications, palaces, religious buildings, residential precincts, agricultural structures and water installations, from the 8th to 14th centuries. The Kalikamata Temple on top of Pavagadh Hill is considered to be an important shrine, attracting large numbers of pilgrims throughout the year. The site is the only complete and unchanged Islamic pre-Mughal city.",Cultural,(iii)(iv)(v),2004,India,https://whc.unesco.org/document/114936,"22.48333333, 73.53333333","{name: MIL 11 Hathikhana, ref: 1101-007, latitude: 22.487, longitude: 73.57}, {name: JLS 10 Sindh Mata, ref: 1101-008, latitude: 22.5015277778, longitude: 73.4856388889}, {name: Primary Heritage Zone, ref: 1101-001, latitude: 22.4833333333, longitude: 73.5333333333}, {name: MQB 05 Maqbara Mandvi, ref: 1101-004, latitude: 22.4954166667, longitude: 73.5118333333}, {name: JLS 16 Chandrakala Vav, ref: 1101-012, latitude: 22.4980833333, longitude: 73.4778888889}, {name: MQB 01 Sikander Ka Reuza, ref: 1101-009, latitude: 22.5052222222, longitude: 73.474}, {name: MQB 11 Babakhan Ki Dargah, ref: 1101-010, latitude: 22.4986944444, longitude: 73.4735}, {name: JLS 11 Nau Kuan Sat Vavdi, ref: 1101-011, latitude: 22.4963333333, longitude: 73.4673888889}, {name: JLS 09 Malik Sandal Ni Vav, ref: 1101-006, latitude: 22.4996388889, longitude: 73.5157222222}, {name: MQB 10 Maqbara near Patidar Village, ref: 1101-005, latitude: 22.4951388889, longitude: 73.5501944444}, {name: MQB 04 Maqbara near Panchmahuda Masjid, ref: 1101-003, latitude: 22.4894722222, longitude: 73.5006666667}, {name: BRD 02 Kabutarkhana / MJD 10 Khajuri Masjid, ref: 1101-002, latitude: 22.494694, longitude: 73.557}",12,UNESCO World Heritage
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),"The Chhatrapati Shivaji Terminus, formerly known as Victoria Terminus Station, in Mumbai, is an outstanding example of Victorian Gothic Revival architecture in India, blended with themes deriving from Indian traditional architecture. The building, designed by the British architect F. W. Stevens, became the symbol of Bombay as the ‘Gothic City’ and the major international mercantile port of India. The terminal was built over 10 years, starting in 1878, according to a High Victorian Gothic design based on late medieval Italian models. Its remarkable stone dome, turrets, pointed arches and eccentric ground plan are close to traditional Indian palace architecture. It is an outstanding example of the meeting of two cultures, as British architects worked with Indian craftsmen to include Indian architectural tradition and idioms thus forging a new style unique to Bombay.","The Chhatrapati Shivaji Terminus, formerly known as Victoria Terminus Station, in Mumbai, is an outstanding example of Victorian Gothic Revival architecture in India, blended with themes deriving from Indian traditional architecture. The building, designed by the British architect F. W. Stevens, became the symbol of Bombay as the ‘Gothic City’ and the major international mercantile port of India. The terminal was built over 10 years, starting in 1878, according to a High Victorian Gothic design based on late medieval Italian models. Its remarkable stone dome, turrets, pointed arches and eccentric ground plan are close to traditional Indian palace architecture. It is an outstanding example of the meeting of two cultures, as British architects worked with Indian craftsmen to include Indian architectural tradition and idioms thus forging a new style unique to Bombay.",Cultural,(ii)(iv),2004,India,https://whc.unesco.org/document/113663,"18.9401222222, 72.8362027777","{name: Chhatrapati Shivaji Terminus (formerly Victoria Terminus), ref: 945rev, latitude: 18.9401222222, longitude: 72.8362027777}",1,UNESCO World Heritage
Rock Shelters of Bhimbetka,"The Rock Shelters of Bhimbetka are in the foothills of the Vindhyan Mountains on the southern edge of the central Indian plateau. Within massive sandstone outcrops, above comparatively dense forest, are five clusters of natural rock shelters, displaying paintings that appear to date from the Mesolithic Period right through to the historical period. The cultural traditions of the inhabitants of the twenty-one villages adjacent to the site bear a strong resemblance to those represented in the rock paintings.","The Rock Shelters of Bhimbetka are in the foothills of the Vindhyan Mountains on the southern edge of the central Indian plateau. Within massive sandstone outcrops, above comparatively dense forest, are five clusters of natural rock shelters, displaying paintings that appear to date from the Mesolithic Period right through to the historical period. The cultural traditions of the inhabitants of the twenty-one villages adjacent to the site bear a strong resemblance to those represented in the rock paintings.",Cultural,(iii)(v),2003,India,https://whc.unesco.org/document/113402,"22.92777778, 77.58333333","{name: Larger group, ref: 925-001, latitude: 22.9388888889, longitude: 77.6033333333}, {name: Smaller group, ref: 925-002, latitude: 22.9452777778, longitude: 77.6472222222}",2,UNESCO World Heritage
Mahabodhi Temple Complex at Bodh Gaya,"The Mahabodhi Temple Complex is one of the four holy sites related to the life of the Lord Buddha, and particularly to the attainment of Enlightenment. The first temple was built by Emperor Asoka in the 3rd century B.C., and the present temple dates from the 5th or 6th centuries. It is one of the earliest Buddhist temples built entirely in brick, still standing in India, from the late Gupta period.","The Mahabodhi Temple Complex is one of the four holy sites related to the life of the Lord Buddha, and particularly to the attainment of Enlightenment. The first temple was built by Emperor Asoka in the 3rd century B.C., and the present temple dates from the 5th or 6th centuries. It is one of the earliest Buddhist temples built entirely in brick, still standing in India, from the late Gupta period.",Cultural,(i)(ii)(iii)(iv),2002,India,https://whc.unesco.org/document/114538,"24.69528, 84.99389","{name: Mahabodhi Temple Complex at Bodh Gaya, ref: 1056rev, latitude: 24.69528, longitude: 84.99389}",1,UNESCO World Heritage
Mountain Railways of India,"This site includes three railways. The Darjeeling Himalayan Railway was the first, and is still the most outstanding, example of a hill passenger railway. Opened in 1881, its design applies bold and ingenious engineering solutions to the problem of establishing an effective rail link across a mountainous terrain of great beauty. The construction of the Nilgiri Mountain Railway, a 46-km long metre-gauge single-track railway in Tamil Nadu State was first proposed in 1854, but due to the difficulty of the mountainous location the work only started in 1891 and was completed in 1908. This railway, scaling an elevation of 326 m to 2,203 m, represented the latest technology of the time. The Kalka Shimla Railway, a 96-km long, single track working rail link built in the mid-19th century to provide a service to the highland town of Shimla is emblematic of the technical and material efforts to disenclave mountain populations through the railway. All three railways are still fully operational.","This site includes three railways. The Darjeeling Himalayan Railway was the first, and is still the most outstanding, example of a hill passenger railway. Opened in 1881, its design applies bold and ingenious engineering solutions to the problem of establishing an effective rail link across a mountainous terrain of great beauty. The construction of the Nilgiri Mountain Railway, a 46-km long metre-gauge single-track railway in Tamil Nadu State was first proposed in 1854, but due to the difficulty of the mountainous location the work only started in 1891 and was completed in 1908. This railway, scaling an elevation of 326 m to 2,203 m, represented the latest technology of the time. The Kalka Shimla Railway, a 96-km long, single track working rail link built in the mid-19th century to provide a service to the highland town of Shimla is emblematic of the technical and material efforts to disenclave mountain populations through the railway. All three railways are still fully operational.",Cultural,(ii)(iv),1999,India,https://whc.unesco.org/document/130019,"11.51028, 76.93583","{name: Kalka Shimla Railway, ref: 944ter-003, latitude: 30.8522222222, longitude: 76.9375}, {name: Nilgiri Mountain Railway, ref: 944ter-002, latitude: 11.5102777778, longitude: 76.9316666667}, {name: Darjeeling Himalayan Railway, ref: 944ter-001, latitude: 26.68, longitude: 88.46}",3,UNESCO World Heritage
"Humayun's Tomb, Delhi","This tomb, built in 1570, is of particular cultural significance as it was the first garden-tomb on the Indian subcontinent. It inspired several major architectural innovations, culminating in the construction of the Taj Mahal.","This tomb, built in 1570, is of particular cultural significance as it was the first garden-tomb on the Indian subcontinent. It inspired several major architectural innovations, culminating in the construction of the Taj Mahal.",Cultural,(ii)(iv),1993,India,https://whc.unesco.org/document/109239,"28.59333, 77.25056","{name: Humayun's Tomb, Delhi, ref: 232bis, latitude: 28.59333, longitude: 77.25056}",1,UNESCO World Heritage
"Qutb Minar and its Monuments, Delhi","Built in the early 13th century a few kilometres south of Delhi, the red sandstone tower of Qutb Minar is 72.5 m high, tapering from 2.75 m in diameter at its peak to 14.32 m at its base, and alternating angular and rounded flutings. The surrounding archaeological area contains funerary buildings, notably the magnificent Alai-Darwaza Gate, the masterpiece of Indo-Muslim art (built in 1311), and two mosques, including the Quwwatu'l-Islam, the oldest in northern India, built of materials reused from some 20 Brahman temples.","Built in the early 13th century a few kilometres south of Delhi, the red sandstone tower of Qutb Minar is 72.5 m high, tapering from 2.75 m in diameter at its peak to 14.32 m at its base, and alternating angular and rounded flutings. The surrounding archaeological area contains funerary buildings, notably the magnificent Alai-Darwaza Gate, the masterpiece of Indo-Muslim art (built in 1311), and two mosques, including the Quwwatu'l-Islam, the oldest in northern India, built of materials reused from some 20 Brahman temples.",Cultural,(iv),1993,India,https://whc.unesco.org/document/109250,"28.52583, 77.18528","{name: Qutb Minar and its Monuments, Delhi, ref: 233, latitude: 28.52583, longitude: 77.18528}",1,UNESCO World Heritage
