file,format,rows_or_pages,columns,useful_columns_preview,layer,contains,source_quality,decision,reason
Dataset/Data/Final/master_destinations.csv,CSV,144,48,destination_id | name | alternative_names | city | district | state | country | latitude | longitude | destination_type | heritage_category | description,FINAL DRAFT,144 destination master with editorial/derived fields,Previous generated package,REVIEW/REBUILD,Useful baseline but schema violates current normalized design; contains unsupported/unversioned fields.
Dataset/Data/Final/recommendation_features.csv,CSV,144,24,destination_id | destination_type | heritage_category | state | budget_category | crowd_level | visit_duration | tourism_popularity | hidden_gem_score | cultural_interest | history_interest | architecture_interest,FINAL DERIVED,144 recommendation feature rows,Derived from current master,DROP FROM FOUNDATION,Do not use as authoritative data; rebuild later from verified attributes.
Dataset/Data/Final/source_provenance.csv,CSV,434,12,destination_id | destination_name | source_file | source | source_url | source_year | source_type | authority_tier | official_status | fields_supported | extraction_method | provenance_notes,FINAL GOVERNANCE,434 source-level provenance rows,Previous generated package,REVIEW/REBUILD,"Useful source map, but one destination count is 145 and must be reconciled."
Dataset/Data/Final/women_safety_data.csv,CSV,144,18,destination_id | destination_name | women_safety_score | police_support | medical_support | emergency_support | transport_availability | network_availability | lighting | safe_stay | sanitary_facilities | women_specific_facilities,FINAL SAFETY/ACCESS,144 rows of safety/accessibility attributes,Previous generated package,REVIEW/REBUILD,Keep as draft governance evidence; unsupported values must remain unavailable/UNVERIFIED.
Dataset/Data/Official Tourism/india_tourism_official_2024.csv,CSV,36,13,data_year | region | state_ut | domestic_visits_2023_million | foreign_visits_2023_million | domestic_visits_2024_million | foreign_visits_2024_million | domestic_growth_2024_percent | foreign_growth_2024_percent | domestic_share_2024_percent | foreign_share_2024_percent | source,OFFICIAL TOURISM,State/UT domestic and foreign visits 2023/2024,Official Ministry tourism statistics,KEEP,Authoritative state/UT tourism statistics; preserve year and units.
Dataset/Data/Processed/asi_monuments_clean.csv,CSV,144,8,circle | name_of_the_monument | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | growth_2021_21_2019_20_domestic | growth_2021_21_2019_20_foreign,PROCESSED TOURISM,ASI monument-level visitor counts 2019-20 and 2020-21,Derived from tourism statistics; source metadata incomplete,TRANSFORM,"Useful destination-level visitor evidence; same underlying table family, must retain provenance and reporting periods."
Dataset/Data/Processed/bharatverse_monuments.csv,CSV,144,9,monument_name | city | state | latitude | longitude | domestic_visits | foreign_visits | historical_popularity | heritage_category,PROCESSED DESTINATIONS,"144 monument names, cities/states, coordinates, visits, category",Derived/processed; source metadata incomplete,TRANSFORM,Useful 144-record working universe and geo/category fields; field-level provenance required.
Dataset/Data/Raw/CPM List 2024_(3698).pdf,PDF,reference PDF,0,,RAW / AUTHORITATIVE,ASI protected monument list; monument name/locality/district,ASI official,KEEP,"Primary protected-monument reference; use for ASI status verification, not as a destination universe by itself."
Dataset/Data/Raw/tourism_arrivals_region.csv,CSV,230,8,Sl. No. | Country/Territory | Arrivals (In Numbers) | North (In Percentage) | South (In Percentage) | West and Central (In Percentage) | East (In Percentage) | North East (In Percentage),RAW TOURISM,Country/territory arrivals and regional shares,Source metadata not embedded,REFERENCE,Regional/country context only; not destination-level.
DS/bharatverse_asi_monument_analysis.csv,CSV,145,14,circle | monument_name | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | domestic_growth_pct | foreign_growth_pct | total_visitors_2019_20 | total_visitors_2020_21 | total_growth_pct | monument_hiddenness_score,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_heritage_geo_matches.csv,CSV,145,36,circle | monument_name | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | domestic_growth_pct | foreign_growth_pct | total_visitors_2019_20 | total_visitors_2020_21 | total_growth_pct | monument_hiddenness_score,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_hidden_heritage_score_prototype.csv,CSV,20,11,location | level | year | domestic_visits | foreign_visits | total_visits | tourism_popularity_score | tourism_hiddenness_score | heritage_significance_score | hidden_heritage_score | score_status,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_hidden_heritage_score_v1.csv,CSV,20,15,location | level | year | domestic_visits | foreign_visits | total_visits | log_total_visits | tourism_popularity_score | tourism_hiddenness_score | mapped_state | unesco_sites | heritage_components,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_hidden_heritage_score_v2.csv,CSV,145,24,circle | monument_name | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | domestic_growth_pct | foreign_growth_pct | total_visitors_2019_20 | total_visitors_2020_21 | total_growth_pct | monument_hiddenness_score,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_hidden_heritage_shortlist_top30.csv,CSV,30,10,hidden_heritage_rank | monument_name | circle | total_visitors_2019_20 | tourism_hiddenness_score | unesco_match_flag | asi_protection_score | hidden_heritage_score_v2 | heritage_signal | recommendation_reason,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_ml_features.csv,CSV,145,26,circle | monument_name | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | domestic_growth_pct | foreign_growth_pct | total_visitors_2019_20 | total_visitors_2020_21 | total_growth_pct | monument_hiddenness_score,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_ml_feature_importance.csv,CSV,7,2,feature | importance,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_ml_model_metrics.csv,CSV,1,7,model | records_used | train_records | test_records | MAE | R2 | note,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_tourism_analysis.csv,CSV,50,6,location | level | year | domestic_visits | foreign_visits | total_visits,DERIVED ANALYTICS/ML,"Hiddenness, feature engineering, analysis, rankings or model outputs",Derived from project datasets,SEPARATE/DEFER,Do not use as authoritative foundation; recommendation/ML stage comes later.
DS/bharatverse_unesco_analysis.csv,CSV,45,12,name | short_description | description | category | criteria | inscribed_year | country | image | coordinates | components | component_count | heritage_source,HERITAGE REFERENCE,UNESCO India sites and state mappings,UNESCO/derived mapping,REVIEW,Useful heritage significance context; not evidence that a non-UNESCO site is protected by ASI.
DS/bharatverse_unesco_india.csv,CSV,45,11,name | short_description | description | category | criteria | inscribed_year | country | image | coordinates | components | component_count,HERITAGE REFERENCE,UNESCO India sites and state mappings,UNESCO/derived mapping,REVIEW,Useful heritage significance context; not evidence that a non-UNESCO site is protected by ASI.
DS/bharatverse_unesco_state_mapping.csv,CSV,45,15,name | short_description | description | category | criteria | inscribed_year | country | image | coordinates | components | component_count | heritage_source,HERITAGE REFERENCE,UNESCO India sites and state mappings,UNESCO/derived mapping,REVIEW,Useful heritage significance context; not evidence that a non-UNESCO site is protected by ASI.
DS/CPM List 2024_(3698).pdf,PDF,reference PDF,0,,RAW / AUTHORITATIVE,ASI protected monument list; monument name/locality/district,ASI official,KEEP,"Primary protected-monument reference; use for ASI status verification, not as a destination universe by itself."
DS/Data/Characteristics.csv,CSV,131,1,characteristics,POI/GEO DERIVED,Unified POI records/characteristics/profile metadata,Derived from multiple POI sources,REVIEW,Useful for entity resolution and future enrichment; preserve source_file lineage.
DS/Data/Citywise Destinations/Destinations_bangalore.csv,CSV,82,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_chandigarh.csv,CSV,15,4,DestinationID | Name | Latitude | Longitude,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_chennai.csv,CSV,25,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_coimbatore.csv,CSV,59,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_delhi.csv,CSV,52,4,DestinationID | Name | Latitude | Longitude,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_guwahati.csv,CSV,10,6,POI_Name | Latitude | Longitude | Characteristics | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_hyderabad.csv,CSV,21,4,DestinationID | Name | Latitude | Longitude,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_kolkata.csv,CSV,23,4,DestinationID | Name | Latitude | Longitude,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_manali.csv,CSV,72,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_mumbai.csv,CSV,25,4,DestinationID | Name | Latitude | Longitude,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_munnar.csv,CSV,36,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_palakkad.csv,CSV,15,6,POI_Name | Latitude | Longitude | Characteristics | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/Citywise Destinations/Destinations_pune.csv,CSV,25,5,POI_Name | Latitude | Longitude | Name | DestinationID,POI/GEO,City-specific POIs and coordinates,Structured POI dataset,REVIEW,Useful for entity resolution/geo enrichment; outside current 144 master unless matched.
DS/Data/cleaned data/bharatverse_poi_dataset_profiles.csv,CSV,10,4,source_file | rows | columns | columns_found,POI/GEO DERIVED,Unified POI records/characteristics/profile metadata,Derived from multiple POI sources,REVIEW,Useful for entity resolution and future enrichment; preserve source_file lineage.
DS/Data/cleaned data/bharatverse_unified_poi_dataset_v2.csv,CSV,741,8,destination_id | destination_name | latitude | longitude | characteristics | source_file | name_normalized | has_valid_coordinates,POI/GEO DERIVED,Unified POI records/characteristics/profile metadata,Derived from multiple POI sources,REVIEW,Useful for entity resolution and future enrichment; preserve source_file lineage.
DS/Data/cleaned data/bharatverse_user_visits_cleaned.csv,CSV,34515,7,photo_id | user_id | date_taken | poi_id | poi_theme | poi_freq | seq_id,USER/PHOTO BEHAVIOR,Photo/user/POI visit sequences or geotagged images,YFCC/derived dataset,SEPARATE,Potential future behavior/context data; not destination truth and may contain user-related data.
DS/Data/Indian Tourism Dataset/dataset_schema.json,JSON,N/A,4,$schema | title | type | items,THIRD-PARTY DESTINATION DATA,Destination-level accessibility/accommodation/popularity/attributes,Structured dataset; provenance not established in file,REVIEW,Potential enrichment only; many fields are unsupported for verification purposes.
DS/Data/Indian Tourism Dataset/destination_names.txt,TXT,100,0,,THIRD-PARTY DESTINATION DATA,Destination-level accessibility/accommodation/popularity/attributes,Structured dataset; provenance not established in file,REVIEW,Potential enrichment only; many fields are unsupported for verification purposes.
DS/Data/Indian Tourism Dataset/india_tourism_dataset.json,JSON,100,54,id | state | district | region | coordinates | altitude_m | popularity_score | accessibility | nearest_airport | nearest_railway_station | nearest_major_city | road_connectivity,THIRD-PARTY DESTINATION DATA,Destination-level accessibility/accommodation/popularity/attributes,Structured dataset; provenance not established in file,REVIEW,Potential enrichment only; many fields are unsupported for verification purposes.
DS/Data/IndianTourismAtlas/places.csv,CSV,1019,8,state | city | popular_destination | latitude | longitude | interest | google_rating | price_fare,POI/GEO,POIs with state/city/coordinates/interest/rating/price,Atlas/structured POI dataset,REVIEW,Useful supporting geographic/entity evidence; ratings/prices are not authoritative.
DS/Data/Tourist_Spots.csv,CSV,459,5,DestinationID | Name | Latitude | Longitude | Characteristics,POI/GEO,459 POIs with coordinates and characteristics,Structured POI dataset,REVIEW,Useful supporting POI/entity-resolution data; not authoritative heritage status.
DS/Data/Travel Recommendation/Expanded_Destinations.csv,CSV,1000,6,DestinationID | Name | State | Type | Popularity | BestTimeToVisit,TRAVEL RECOMMENDATION,Destination name/state/type/popularity/best time,Structured third-party/dataset source,REVIEW,Potential enrichment but popularity is not authoritative and must retain provenance.
DS/Data/Travel Recommendation/Final_Updated_Expanded_Reviews.csv,CSV,999,5,ReviewID | DestinationID | UserID | Rating | ReviewText,USER/REVIEWS,Destination reviews and ratings,Dataset provenance not embedded,SEPARATE,Potential future user-feedback/review layer; not master destination facts.
DS/Data/Travel Recommendation/Final_Updated_Expanded_UserHistory.csv,CSV,999,5,HistoryID | UserID | DestinationID | VisitDate | ExperienceRating,USER BEHAVIOR,User destination history and experience ratings,Dataset provenance not embedded,SEPARATE,Potential future interaction signal; not destination truth.
DS/Data/Travel Recommendation/Final_Updated_Expanded_Users.csv,CSV,999,7,UserID | Name | Email | Preferences | Gender | NumberOfAdults | NumberOfChildren,USER DATA,User profiles/preferences,User-provided/dataset,SEPARATE,Keep isolated from destination master; contains personal fields.
DS/Data/User_Visits.csv,CSV,34515,1,"photoID;""userID"";""dateTaken"";""poiID"";""poiTheme"";""poiFreq"";""seqID""",USER/PHOTO BEHAVIOR,Photo/user/POI visit sequences or geotagged images,YFCC/derived dataset,SEPARATE,Potential future behavior/context data; not destination truth and may contain user-related data.
DS/Data/Yfcc100m_PicturesData_India(Refined).csv,CSV,1582,6,PhotoID | UserID | Date | Latitude | Longitude | Address,USER/PHOTO BEHAVIOR,Photo/user/POI visit sequences or geotagged images,YFCC/derived dataset,SEPARATE,Potential future behavior/context data; not destination truth and may contain user-related data.
DS/Data/Yfcc100m_PicturesData_India(Unrefined).csv,CSV,274654,6,PhotoID | UserID | Date | Latitude | Longitude | Address,USER/PHOTO BEHAVIOR,Photo/user/POI visit sequences or geotagged images,YFCC/derived dataset,SEPARATE,Potential future behavior/context data; not destination truth and may contain user-related data.
DS/India Tourism Data Compendium 2025_1.pdf,PDF,reference PDF,0,,OTHER DATA,See columns,Source not established,REVIEW,Needs source-level inspection before use.
DS/India-Tourism-Statistics-2021-Table-5.2.3.csv,CSV,178,8,Circle | Name of the Monument  | Domestic-2019-20 | Foreign-2019-20 | Domestic-2020-21 | Foreign-2020-21 | % Growth 2021-21/2019-20-Domestic | % Growth 2021-21/2019-20-Foreign,PROCESSED TOURISM,ASI monument-level visitor counts 2019-20 and 2020-21,Derived from tourism statistics; source metadata incomplete,TRANSFORM,"Useful destination-level visitor evidence; same underlying table family, must retain provenance and reporting periods."
DS/Raw Data 2024.pdf,PDF,reference PDF,0,,OTHER DATA,See columns,Source not established,REVIEW,Needs source-level inspection before use.
DS/tourism_state_2019_2021.csv,CSV,10,8,Sl_No | State_UT | 2019_DTVs | 2019_FTVs | 2020_DTVs | 2020_FTVs | 2021_DTVs | 2021_FTVs,TOURISM STATISTICS,State/UT or UP district tourism visits by year,Public/official-looking statistics; source metadata needs validation,REVIEW,Useful contextual tourism statistics; preserve geography and years.
DS/tourism_up_district_2022_2023.csv,CSV,10,6,Sl_No | District | 2022_DTV | 2022_FTV | 2023_DTV | 2023_FTV,TOURISM STATISTICS,State/UT or UP district tourism visits by year,Public/official-looking statistics; source metadata needs validation,REVIEW,Useful contextual tourism statistics; preserve geography and years.
